company_name,industry,tier
sap india pvt. ltd,IT,1
sapient corporation pvt ltd,IT,2
sarnoff innovative technologies pvt ltd,IT,3
sasken communication technologies limited,IT,2
satellite infotech services pvt ltd,IT,3
science applications international corporation (saic) - india branch office,IT,3
sct software solutions (india) pvt ltd,IT,3
seaton india it pvt ltd,IT,3
sequoia capital india advisors pvt ltd,IT,1
silver software pvt ltd,IT,3
simplex solutions,IT,3
siri technologies pvt ltd,IT,3
skelta software pvt ltd,IT,3
slk software services pvt ltd,IT,3
sobha renaissance information technology pvt ltd,IT,2
societe generale global solution centre pvt ltd,IT,1
softpro systems ltd,IT,3
software data (india) ltd,IT,3
software quality center pvt ltd,IT,3
solutionnet india pvt ltd,IT,3
sonata software limited,IT,2
sonata software ltd.,IT,2
speck systems limited,IT,3
spike technologies india pvt. ltd,IT,3
srishti software private limited,IT,3
stag software pvt ltd,IT,3
subex systems ltd,IT,2
subex systems ltd,IT,2
sun microsystems india pvt. ltd.,IT,1
supportsoft india pvt ltd,IT,3
svb india advisors pvt ltd,IT,3
swiss re shared services (india) pvt ltd,IT,3
sybase software (india) pvt ltd,IT,2
sykes enterprises (india) private limited,IT,3
symbol technologies india pvt ltd,IT,3
symphony services corp. (i) pvt ltd,IT,2
synergia consultants pvt ltd,IT,3
synopsys (india) private limited,IT,3
syntax soft-tech india pvt ltd,IT,3
syntel india ltd,IT,2
syntel ltd,IT,2
systime computer systems (i) pvt. ltd.,IT,3
techeves it solutions pvt ltd,IT,3
techgate technol,IT,3
technoinfoware india pvt. ltd.,IT,3
technovision,IT,1
tecknodreams software consulting pvt ltd,IT,3
teclever solutions,IT,3
tellus solutions,IT,3
thinkways software technologies pvt ltd,IT,3
thought frameworks,IT,3
tidda games,IT,3
toppatch security solutions,IT,3
touchpoint,IT,3
touchpoint datasciences private limited,IT,3
touchweb (india) pvt ltd,IT,3
transitus professional services,IT,3
tricon infotech,IT,3
true vision info systems pvt ltd,IT,3
unisoft infotech,IT,3
universal system technologies inc,IT,3
uvaca technologies pvt ltd,IT,3
v i engineering solutions pvt ltd,IT,3
value add software solutions,IT,3
valuesoft solutions p(ltd),IT,3
varista software pvt ltd,IT,3
vernasoft consultancy india pvt ltd,IT,3
vikasglobal solutions ltd,IT,3
virgosys software pvt ltd,IT,3
virtual logic systems private limited,IT,3
vision catalyst software services (i) pvt ltd,IT,3
