query,name,website,overallRating,industry,numberOfRatings
target corp,Target Corporation India,www.target.com,3.2,"Department, Clothing, & Shoe Stores",253
tata strategic management,Tata Strategic Management Group,www.tsmg.com,2.0,Consulting,5
tcs,Tata Consultancy Services,www.tcs.com,3.3,Computer Hardware & Software,13402
tesco,Tesco,www.tesco.com,3.4,Vehicle Dealers,900
the smart cube,The Smart Cube,www.thesmartcube.com,3.2,Accounting,87
transorg,TransOrg Analytics,www.transorg.com,2.0,,0
transunion,TransUnion,www.transunion.com/corporate/about-transunion/careers.page,3.5,Financial Analytics & Research,304
trendwise analytics,Trendwise Analytics,www.trendwiseanalytics.com,2.0,,7
wipro,Wipro,www.wipro.com,3.2,Accounting,6717
wns,WNS,www.wnscareers.com,2.9,IT Services,529
yes bank,Yes Bank,www.yesbank.in,3.3,Investment Banking & Asset Management,115
zs associates,ZS Associates,www.zsassociates.com,3.6,Consulting,740
facebook,Facebook,www.facebook.com,4.5,Internet,1195
nds,NDS,www.cisco.com,3.5,Computer Hardware & Software,241
omniture,Omniture,www.omniture.com,3.7,Enterprise Software & Network Solutions,46
mckinsey,McKinsey & Company,www.mckinsey.com,4.2,Consulting,1380
boston consulting group,Boston Consulting Group,www.bcg.com,4.3,Consulting,817
access automation pvt ltd,Access Automation,www.aaplweb.com,2.0,Consulting,3
adeptpros it solutions pvt ltd.,adeptpros,www.adeptpros.com,2.0,Computer Hardware & Software,10
adps consulting,GERAM CONSULTING LLC/ADP TOTALSOURCE MI VI,www.pro-star.com,2.0,,4
amplus group,AMPLUS TECHNOLOGIES,www.amplus.com,2.0,,1
anand software and training,Gabriel India,www.gabrielindia.com,3.9,Automotive Parts & Accessories Stores,15
aufait technologies pvt ltd,Aufait Technologies,www.aufait.in,4.1,IT Services,15
avankia,Avankia,www.avankia.com,2.0,Consulting,5
avekshaa technologies,Avekshaa Technologies,www.avekshaa.com,2.0,Computer Hardware & Software,1
bfsi software consulting (p) ltd,Pravaha Software & Consultancy Services,www.pravahasoftwares.com,2.0,Computer Hardware & Software,0
big ben solutions,Big Ben Solutions,,2.0,Computer Hardware & Software,0
cerulean information technology pvt ltd,Cerulean Information Technology,www.ceruleaninfotech.com,2.0,IT Services,2
chimera technologies pvt ltd,Chimera Technologies,www.chimeratechnologies.com,2.0,Computer Hardware & Software,2
cogitate consulting private limited,Arnold Consulting Private Limited,www.arnoldconsultants.com,4.7,Consulting,15
cosmonet solutions pvt ltd,Cosmonet Solutions,www.cosmonetsolutions.com,2.0,Computer Hardware & Software,6
craft silicon pvt limited,Craft Silicon,www.craftsilicon.com,2.0,Computer Hardware & Software,3
creosky software pvt ltd,CreoSky Software,www.creosky.com,2.0,,1
cross-tab,cross-tab marketing services pvt.,www.cross-tab.com,3.1,IT Services,19
cgi information systems and management consultants pvt ltd ,Best Learning,en.bestlearning.cn,2.0,,1
eaft technologies pvt ltd,EAFT Technologies,www.eaft.in,2.0,Computer Hardware & Software,2
enphiniti engineering solutions,Enphiniti Engineering Solutions,www.enphiniti.com,2.0,Architectural & Engineering Services,3
evangelsoft,Evangelsoft,www.evangelsoft.co.in,2.0,Computer Hardware & Software,2
evangelsoft private limited,Evangelsoft,www.evangelsoft.co.in,2.0,Computer Hardware & Software,2
ezeecloud infoservers pvt ltd,eZeeCLOUD,www.ezeecloud.com,2.0,Computer Hardware & Software,2
fas dec,Fas Dec,www.fastdecisive.com,2.0,IT Services,3
faststream technologies,Faststream Technologies,www.faststream-tech.com,2.0,Computer Hardware & Software,6
glopore ims,Glopore IMS,www.gloporeims.com,2.4,IT Services,19
grace system technology labs (india) pvt ltd,Gracelabs,www.gracelabs.com,2.0,IT Services,6
granada software,NGA HR,www.ngahr.com,1.0,Staffing & Outsourcing,214
hasten technologies pvt ltd,Hasten Technologies,www.hastentechnologies.com,2.0,Computer Hardware & Software,0
hypertech solutions,HyperTech Solutions,www.hypertechsolutions.com,2.0,Computer Hardware & Software,1
information technology park ltd ,STPL,www.stplglobal.com,2.0,IT Services,4
ind global consultancy solutions,IND,www.indianapolisairport.com,2.0,Airlines,6
indium global services,Indium Global,www.indiumglobal.com,2.0,Computer Hardware & Software,0
inflexion,Inflexion,www.inflexion.com,2.0,Investment Banking & Asset Management,0
isleen solutions pvt ltd,Isleen Solutions,www.isleen.com,2.0,IT Services,1
isqt process & consulting services pvt ltd,ISQT Process & Consulting Services,www.isqtinternational.com,2.0,Computer Hardware & Software,0
jbk infotech pvt ltd,JBK Infotech,www.jbkinfotech.com,2.0,,0
